id, category, name, more_names
56, Hair Hats and Wigs, Hair Hats and Wigs : Redmohawk, Redmohawk
57, Hair Hats and Wigs, Hair Hats and Wigs : Purplehair, Purplehair
58, Hair Hats and Wigs, Hair Hats and Wigs : Policecap, Policecap
59, Hair Hats and Wigs, Hair Hats and Wigs : Pinkwithhat, Pinkwithhat
60, Hair Hats and Wigs, Hair Hats and Wigs : Pilothelmet, Pilothelmet
61, Hair Hats and Wigs, Hair Hats and Wigs : Pigtails, Pigtails
62, Hair Hats and Wigs, Hair Hats and Wigs : Orangeside, Orangeside
63, Hair Hats and Wigs, Hair Hats and Wigs : Mohawkthin, Mohawkthin
64, Hair Hats and Wigs, Hair Hats and Wigs : Mohawkdark, Mohawkdark
65, Hair Hats and Wigs, Hair Hats and Wigs : Hoodie, Hoodie
66, Hair Hats and Wigs, Hair Hats and Wigs : Knittedcap, Knittedcap
67, Hair Hats and Wigs, Hair Hats and Wigs : Clownhairgreen, Clownhairgreen
68, Hair Hats and Wigs, Hair Hats and Wigs : Headband, Headband
69, Hair Hats and Wigs, Hair Hats and Wigs : Halfshaved, Halfshaved
70, Hair Hats and Wigs, Hair Hats and Wigs : Greenhoodie, Greenhoodie
71, Hair Hats and Wigs, Hair Hats and Wigs : Frumpyhair, Frumpyhair
72, Hair Hats and Wigs, Hair Hats and Wigs : Fedora, Fedora
73, Hair Hats and Wigs, Hair Hats and Wigs : Grimreaper, Grimreaper
74, Hair Hats and Wigs, Hair Hats and Wigs : Darkhair, Darkhair
75, Hair Hats and Wigs, Hair Hats and Wigs : Crazyhair, Crazyhair
76, Hair Hats and Wigs, Hair Hats and Wigs : None, 
77, Hair Hats and Wigs, Hair Hats and Wigs : Cowboyhat, Cowboyhat
78, Hair Hats and Wigs, Hair Hats and Wigs : Cathoodie, Cathoodie
79, Hair Hats and Wigs, Hair Hats and Wigs : Bride, Bride
80, Hair Hats and Wigs, Hair Hats and Wigs : Blackwithheadband, Blackwithheadband
81, Hair Hats and Wigs, Hair Hats and Wigs : Beanie, Beanie
82, Hair Hats and Wigs, Hair Hats and Wigs : Blondebob, Blondebob
83, Punkins, Punkins : Invisible Woman, Invisible Woman
84, Punkins, Punkins : Zombie, Zombie
85, Punkins, Punkins : Ghost, Ghost
86, Punkins, Punkins : Werewolf, Werewolf
87, Punkins, Punkins : Orc, Orc
88, Punkins, Punkins : Mummy, Mummy
89, Punkins, Punkins : Human Dark, Human Dark
90, Punkins, Punkins : Human Medium, Human Medium
91, Punkins, Punkins : Skeleton, Skeleton
92, Punkins, Punkins : Frankenstein's Monster, Frankenstein's Monster
93, Punkins, Punkins : Demon, Demon
94, Punkins, Punkins : Ape, Ape
95, Punkins, Punkins : Jack O Lantern, Jack O Lantern
96, Punkins, Punkins : Alien, Alien
97, Punkins, Punkins : Human Fair, Human Fair
98, Zodiak, Zodiak : Taurus, Taurus
99, Zodiak, Zodiak : Virgo, Virgo
100, Zodiak, Zodiak : Scorpio, Scorpio
101, Zodiak, Zodiak : Sagittarius, Sagittarius
102, Zodiak, Zodiak : Pisces, Pisces
103, Zodiak, Zodiak : Libra, Libra
104, Zodiak, Zodiak : Leo, Leo
105, Zodiak, Zodiak : Gemini, Gemini
106, Zodiak, Zodiak : Capricorn, Capricorn
107, Zodiak, Zodiak : Cancer, Cancer
108, Zodiak, Zodiak : Aries, Aries
109, Zodiak, Zodiak : Aquarius, Aquarius
110, Spooky Sky, Spooky Sky : Wine Soaked Sky, Wine Soaked Sky
